Browser,Browser Version,Users,Sessions,Pages/Session,Avg. Session Duration,% New Sessions,Bounce Rate
Edge,108.0.5389.561,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5401.984,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.5532.245,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.5547.255,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5549.437,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5557.325,1,2,1.5,00:00:22,50.00%,50.00%
Edge,108.0.5564.536,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.5569.480,1,1,2,00:00:28,0.00%,0.00%
Edge,108.0.5732.882,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5736.906,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5826.637,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5861.241,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5874.830,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5886.922,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5890.101,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5896.466,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5905.586,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5906.842,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.5907.347,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5908.828,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.5978.100,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6034.205,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6073.407,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6113.867,1,1,1,00:00:02,100.00%,0.00%
Edge,108.0.6129.946,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6159.183,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.6265.813,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.6294.875,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.6319.691,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6328.933,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.6366.588,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6373.665,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6437.654,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.6490.160,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6511.793,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.6581.331,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.6587.865,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6625.101,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6632.525,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6642.127,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.6645.767,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6724.902,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6789.607,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6791.242,1,1,1,00:00:02,100.00%,0.00%
Edge,108.0.6803.860,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.6868.111,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6925.602,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6928.155,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.6950.264,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.6996.787,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.6997.289,1,1,1,00:00:01,100.00%,100.00%
Edge,108.0.7006.122,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.7048.904,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.7082.310,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7092.839,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7093.669,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7098.107,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7101.617,1,1,1,00:00:03,100.00%,0.00%
Edge,108.0.7140.921,1,1,2,00:01:52,100.00%,0.00%
Edge,108.0.7145.575,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.719.876,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.720.799,1,1,2,00:01:13,100.00%,0.00%
Edge,108.0.7204.726,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7232.784,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7233.958,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7252.528,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7311.988,1,1,1,00:00:00,0.00%,0.00%
Edge,108.0.7417.893,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7422.277,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.7438.369,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7446.155,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7458.429,1,1,2,00:01:03,100.00%,0.00%
Edge,108.0.7489.477,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.752.574,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.754.688,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.758.942,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7632.742,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7670.830,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.7682.741,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.7728.627,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7787.274,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7817.513,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7843.185,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.7899.193,1,1,3,00:00:40,100.00%,0.00%
Edge,108.0.7967.198,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8064.920,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.8069.761,1,1,1,00:00:01,0.00%,0.00%
Edge,108.0.8071.728,1,1,1,00:00:00,0.00%,100.00%
